service_id,service_date,service_duration,service_comment,service_cashed_price,service_client_id_id,service_massage_id_id
1,2020-09-26,136,&wO^yFX@@oè#éi6b4gnP#7xLGü@úüònsAèûk1sZg$ûqhúAPQNW,50,631,20
2,2022-04-24,158,áxCâ#YAHfáêQcë9û0@3GMè24DULqAéuKAzàgheníVí%SRüfkä$,134,321,6
3,2023-08-13,90,ëûw27tSüéFrvNqxEWm9nà@áô5a4fmOn6wKFö9óVOór*àPá0rYê,148,724,49
4,2021-03-23,71,^4SNgYïhauGIöbrPzénâèy$uáXXVôE9EkN5PWâMjQwäóOdíRäm,134,58,2
5,2020-04-01,93,KUóQy%^#Dïivûge6$A3ôjëP15X08OIwCüaDSò&é^ìwYx*6U8ûC,143,442,39
6,2020-05-22,62,7gVZoUîgyQûS#ä75àEóKRpRèâmgCû@wq@Wb$r7ûV03ë4^K9bqr,155,63,27
7,2019-04-21,95,àûe7Pîáb&6ûïKVhvdOGHEN4*Lû%$XFK%ò*gcR&íQBYëNM77èg1,163,223,48
8,2021-06-30,71,áúyûìpjâdEEet^a7ö%êzêaàvì5dw6zCály0*ûá9%fqGUCkcdaj,75,36,3
9,2021-08-05,80,SAiabögêìf7àúqüeú6òC*lè0kûs@gfûû4CY0QyWh1hdìysO3FP,180,921,18
10,2022-08-04,96,YéHSánQPëZôPmTzwèRgàUöpéáKKkzDg%eCíhíôSdö#j2$5Ièò4,98,752,19
11,2023-11-14,50,44iû5âc0ûyahI51qF*ì4ôòégm#áídulTa6Xkaî#JKHQ7v7ësrC,139,396,22
12,2023-11-18,40,îûgPìàsy3pOûîBmrJmtA#i5áé6EZ1SzYiKj2rGuQ5HRKûn$ILê,109,933,28
13,2021-01-04,131,Nôyè&Z9Dàeá^564$manWwïy59vVyóHAxP*0HY$#pì%ój8c6ipQ,56,42,41
14,2019-06-05,130,3Gúà14DïLp*jtJXFnfgdméUí$äQöejä$öIyqï6pax&mlúMmHôh,142,759,37
15,2021-04-25,152,C@öbOZlzhSKLIR8DPöA*êJOAïDkgVCèUFîaRQ##äk5àyó3RìRN,70,665,2
16,2022-05-23,151,á#QPëchò@TGwèä4àövqéjKKkzEg%eCí5ígë1ö#j2$5Ièr46Faè,115,975,7
17,2019-05-28,90,ü3fmN@6vKEï9óöèlr*àìjzqYf#îpfí*OPMV$0$bywHNSEa0oéB,103,172,13
18,2022-12-07,109,Mîüà^YkBóZHp452#lümUïäx38uTaíGswOryFXn@oè#éû6b5gnP,132,290,8
19,2022-06-08,88,WZ9Dàeé^674$ny#WwuF59vVzóáAxP*0HY$#pqTójOcNi$Q%8yM,165,758,40
20,2019-02-03,125,TbEDûNSDaHokZFäYIéeUU&&ün9û1ì7VäVRGìí0öq0t%âêsu#óC,69,499,21
21,2019-05-29,159,è@ìla6d*o7A@Nëv8#KfëDGq1RáNvnoltûfsDdb3mqcCgPMye%x,138,201,5
22,2022-05-25,93,rtMPázòAê#Fìgí*786^ocpYyü07#xX0àJCzRB2Jâ^%rû^àl@e8,169,809,4
23,2020-04-19,150,aYYy%Suó&ûyCzuk&@éEXíâa35Yêï$fMòGResaLDEBJ1p1à@l$C,66,100,27
24,2019-05-29,144,Eb1oíCGäBJíe^U&sWomR2P8&ë&RHìí0VrdëqDîtïoLChkWlu8q,86,692,21
25,2019-06-24,50,63$manWvëy49vVyóH*xP&0GY$#pì$íj7c6hoQ$8yMHa#àaûotC,170,516,40
26,2019-07-06,33,9ôz93GLè14DULp*áuKAzàfgdméUí%SRöejä$VIyòï6ìax&ólúM,91,758,49
27,2023-11-22,30,qs9IAe5Ui&5nZûäìbVJV1HFíòöû0J^mêávâóm4XaYAb%#ëLûQX,74,97,12
28,2020-11-19,128,x81Eíúz2BëJn^hsIWEmdeckûSá#ûPëdhò@ëGwpä4oöw%kjíKlG,124,837,24
29,2019-01-14,174,@áô5a3fmOn6vKFö9óVOór*àPá0rYê#îìgó*OPMVp0%bywHNSEa,181,444,23
30,2019-01-31,37,pIáJ3éywê%ZBIhJîRdö#á1oh1Nì3iyWNruíw5C1ìhifoLWú&US,87,183,26
31,2022-12-05,75,f3ö1dkM84uIDë7éëàkp^óèhypWd9êneé^MNKT@y#awuFLQCüzm,147,720,16
