service_id,service_date,service_duration,service_comment,service_cashed_price,service_is_voucher,service_client_id_id,service_massage_id_id
1,2023-09-04,152,Eqë5püx^lkúú9Hî5V3êm6miï2xT8KUNíqsMOûzìAê@Eèfí&785,140.61,t,618,15
2,2023-09-11,108,àúNOo3HjAiGàlèéWhc&n6*9Mäï8@JeRwFp0QûMumnksòêòCcXf,130.01,f,974,1
3,2020-03-20,174,ôD8EkM4PVâMjPwäíOdéRûmôîG0ôwAZ@X&FeôZPaä8îy82FKà03,65,t,691,17
4,2021-05-06,163,ImWS4kD3n#MzzddHVïCàAä0E0wlA$óGYóîc56âôü%hOäISftbM,64.69,f,461,1
5,2022-07-02,62,ô7R1$îëY6yyw4fòfOoúqx1nNrâ*9pH8s*Q43hû5âb0ûyahI50q,163.06,t,530,9
6,2021-06-19,140,Ko&ûtJ*yúefcláTé$RQïdiû#UHxìë5èüw^íkóLlHFhVfêó6óhï,136.93,f,641,8
7,2023-10-22,176,êâhoseEûR7cg&bj71ïuVVv@PrHpNö*örh$jFv%G*Tc2&ARlcJN,169.84,t,309,6
8,2019-10-31,177,$âyâüúuè4cv5yBûkxz&òû8$epFTBjbcüiîûg8èàrafà7ûEAmì2,134,t,16,20
9,2022-03-16,176,zhSKLIQ8w8ïAsCJN*ëDjîVBàUEîüQP#nRj4MxK3@èRNCíîvQmw,139.42,t,30,18
10,2020-05-22,131,9Fí75Q*D6é@üëL8âK#SúGF01ûüuânYtHêHC9XSlôcmfzLNegwU,93.43,t,318,4
11,2019-11-11,63,L8âK#SúGF01ixBd#b*ûfáâQbë9hz93Gúè14DïLp*juKXFofgem,92.67,f,546,22
12,2023-07-31,40,ëqCîsïnLCgjWlu8qêëïûdALY4JIúäaé3M*pûóxôèojZcDDds^ü,154.17,f,624,19
13,2019-10-19,92,&C5á9öRK7ZJ@RóFEzcGötBm*szâGB8WRkFbley4Mdfv$3èrHä2,175,t,203,16
14,2019-11-26,88,eCmUaNYlzhSKLIQ8w8ïAsCJN*ëDjîVBàUEîüQP#nRj4MxK3@èR,95,f,480,5
15,2021-10-01,176,öW&ü#9ûIìOVtVäûqlGö^0u^âf*v#óZ47a8BO%fuvs1XúbKíánt,56.84,t,314,26
16,2021-07-31,33,XèT1tur0amyJji9sxjImWS4kD3n#MzzddHVïCàAä0E0wlA$óGY,187,f,707,12
17,2020-09-12,71,3Pû5k0XOtwúx6D2òjkhqMYà*VUcinö&YM1ëa@äd1vìpPPq5JlC,52,t,888,28
18,2023-08-22,59,OJc^òZTìwEäTà4vôé*íëkìDTURZt5Ag21LSXIf5sèGKüFNèáBY,166,f,306,28
19,2019-02-23,125,ôZPaä8îy82FKà03CTKo&ûtJ*yúefcláTé$RQïdiû#UHxìë5èüw,94.36,f,689,20
20,2023-04-15,61,òAênFìîKs896^pdpYaü07#xXdàJvzRu2Jâq%rû&àó@e8krSr@0,176,t,709,22
21,2021-01-05,62,î*&të*ìn$g@mtUA$2QLe&äfösxGëüp6xûlAúwmûFVVTêC7Ci43,81.55,t,214,24
22,2021-06-09,58,èq36Füà&BlvLZHphifoóam&ïëyglï^aKGsü8rczAonèè$Ká7Y5,52,t,738,27
23,2023-08-13,120,SwéE^vN%xEW99nú@áh5a3fmO@6vKFö9óöìmr*àòj0rYf#îpgó*,107.3,f,472,2
24,2023-07-30,56,y2oOsêY@qI9tAR54ijMêcHäGb5J61rFAòLûûíh@$éóeCmUaNYl,53.39,t,944,8
25,2021-04-11,92,àism5STkm3â#özìc9G5ëóúéäPDPvY*êíìYuê8hüâpöîgyûûS$ä,61.09,f,884,8
26,2022-10-30,165,O4xd$wg4FsrëStOàoîmóä%tpe@4âsRêUûazTVèiüHóuLöóQy^&,164.11,t,769,16
27,2020-03-15,99,ä0ö#j1#5Ièq36Füà&BlvLZHphifoóam&ïëyglï^aKGsü8rczAo,95,f,535,4
28,2020-09-18,86,^Lí9Z7áqRq9zN2Y%OYRèvDQSú3uîá&IäjèC#$9Bs4*ê10K@&1â,132,t,866,10
29,2023-11-02,31,ûàF3VE5MûAAvvZòpUiSnBWB^3SNgYëgauGHöbrOzénâèx#tûWX,65,t,538,21
30,2023-11-30,172,2xTkK%6JìsL7Gbì*DmENêJr785%àcoXüöz6@wWcúIuyQt1ICp$,172,t,932,17
